project,files,lon,lat,source_h,source_v,target_zone,target_h,target_v,out_srs,vertical_note
FL_2017FortDrum_1_C22,630,-80.699,27.646,EPSG:26917,EPSG:5703,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_2017PalmCoast_1_C22,212,-81.28,29.558,EPSG:26917,EPSG:5703,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_2018PascoCounty_1_C22,1032,-82.556,28.313,EPSG:26917,EPSG:5703,FL West,EPSG:6442,EPSG:5703,EPSG:6442+5703,
FL_Everglades_N_2017,1536,-80.95,25.652,EPSG:26917,EPSG:5703,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Everglades_N_Hydroflattened_2017,1536,-80.95,25.652,EPSG:26917,EPSG:5703,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Everglades_S_2017,1784,-80.737,25.303,EPSG:26917,EPSG:5703,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Everglades_S_Hydroflattened_2017,1784,-80.737,25.303,EPSG:26917,EPSG:5703,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_HurricaneMichael_1_2020,938,-84.281,30.128,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_HurricaneMichael_2_2020,508,-83.859,30.488,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_HurricaneMichael_3_2020,1669,-84.74,29.956,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_HurricaneMichael_4_2020,978,-84.332,30.468,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_HurricaneMichael_5_2020,1411,-85.912,30.617,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_HurricaneMichael_6_2020,1741,-85.232,30.745,EPSG:2238,(none),FL North,EPSG:6440,EPSG:5703,EPSG:6440,CHECK vertical datum+units before Z reprojection
FL_HurricaneMichael_7_2020,2451,-85.444,29.994,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_LeonCo_2018,876,-84.372,30.474,EPSG:6441,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Lower_Choctawhatchee_2017,3892,-85.641,30.238,EPSG:26916,EPSG:5703,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_ManateeCo_1_B25,1138,-82.597,27.488,EPSG:2237,EPSG:6360,FL West,EPSG:6442,EPSG:5703,EPSG:6442+5703,
FL_MiamiDade_1_D23,1534,-80.492,25.493,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Osceola_2015,7292,-81.346,28.04,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_PalmBeachCo_2016,9222,-80.479,26.694,EPSG:6438,(none),FL East,EPSG:6437,EPSG:5703,EPSG:6437,CHECK vertical datum+units before Z reprojection
FL_Panhandle_B1_2018,2821,-85.571,30.548,EPSG:6350,(none),FL North,EPSG:6440,EPSG:5703,EPSG:6440,CHECK vertical datum+units before Z reprojection
FL_Panhandle_B2_2018,7335,-84.954,30.637,EPSG:6350,(none),FL North,EPSG:6440,EPSG:5703,EPSG:6440,CHECK vertical datum+units before Z reprojection
FL_Panhandle_TL_2018,47,-85.658,31.001,EPSG:6350,(none),FL North,EPSG:6440,EPSG:5703,EPSG:6440,CHECK vertical datum+units before Z reprojection
FL_PeaceRiver_2014,167,-81.859,27.439,EPSG:6442,(none),FL West,EPSG:6442,EPSG:5703,EPSG:6442,CHECK vertical datum+units before Z reprojection
FL_Peninsular_Citrus_2018,769,-82.504,28.88,EPSG:2237,EPSG:6360,FL West,EPSG:6442,EPSG:5703,EPSG:6442+5703,
FL_Peninsular_FDEM_Alachua_2018,1130,-82.344,29.72,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Baker_2018,643,-82.22,30.387,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Bradford_2018,286,-82.203,29.969,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Brevard_2018,1066,-80.656,28.35,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Charlotte_2018,864,-82.152,26.866,EPSG:2237,EPSG:6360,FL West,EPSG:6442,EPSG:5703,EPSG:6442+5703,
FL_Peninsular_FDEM_Clay_2018,764,-81.755,29.946,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Collier_2018,530,-81.094,26.051,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Columbia_2018,874,-82.643,30.171,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Desoto_2018,759,-81.761,27.156,EPSG:2237,EPSG:6360,FL West,EPSG:6442,EPSG:5703,EPSG:6442+5703,
FL_Peninsular_FDEM_Dixie_2018,838,-83.167,29.541,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Duval_2018,987,-81.721,30.389,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Gilchrist_2018,407,-82.845,29.769,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
