"project","filename","geometry"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x46y327_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.41255143 29.46882434, -81.30941503 29.46910408, -81.30968967 29.55935550, -81.41291760 29.55907474, -81.41255143 29.46882434))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x46y328_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.41291760 29.55907474, -81.30968967 29.55935550, -81.30996555 29.64960569, -81.41328545 29.64932390, -81.41291760 29.55907474))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x47y326_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.30914165 29.37885143, -81.20609512 29.37905052, -81.20627738 29.46930389, -81.30941503 29.46910408, -81.30914165 29.37885143))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x47y327_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.30941503 29.46910408, -81.20627738 29.46930389, -81.20646047 29.55955605, -81.30968967 29.55935550, -81.30941503 29.46910408))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x47y328_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.30968967 29.55935550, -81.20646047 29.55955605, -81.20664440 29.64980697, -81.30996555 29.64960569, -81.30968967 29.55935550))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x47y329_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.30996555 29.64960569, -81.20664440 29.64980697, -81.20682917 29.74005666, -81.31024270 29.73985465, -81.30996555 29.64960569))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x48y326_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.20609512 29.37905052, -81.10304777 29.37916997, -81.10313890 29.46942378, -81.20627738 29.46930389, -81.20609512 29.37905052))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x48y327_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.20627738 29.46930389, -81.10313890 29.46942378, -81.10323045 29.55967637, -81.20646047 29.55955605, -81.20627738 29.46930389))"
"FL_2017PalmCoast_C22","FL_2017PalmCoast_C22/TIFF/USGS_1M_17_x48y328_FL_2017PalmCoast_C22.tif","SRID=4326;POLYGON ((-81.20646047 29.55955605, -81.10323045 29.55967637, -81.10332241 29.64992774, -81.20664440 29.64980697, -81.20646047 29.55955605))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x32y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.83228495 28.10328544, -82.73053041 28.10460738, -82.73198205 28.19483701, -82.83382184 28.19351008, -82.83228495 28.10328544))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x32y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.83382184 28.19351008, -82.73198205 28.19483701, -82.73344041 28.28506538, -82.83536584 28.28373346, -82.83382184 28.19351008))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x32y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.83536584 28.28373346, -82.73344041 28.28506538, -82.73490552 28.37529250, -82.83691697 28.37395556, -82.83536584 28.28373346))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x33y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.73053041 28.10460738, -82.62876917 28.10585388, -82.63013555 28.19608822, -82.73198205 28.19483701, -82.73053041 28.10460738))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x33y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.73198205 28.19483701, -82.63013555 28.19608822, -82.63150825 28.28632130, -82.73344041 28.28506538, -82.73198205 28.19483701))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x33y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.73344041 28.28506538, -82.63150825 28.28632130, -82.63288729 28.37655314, -82.73490552 28.37529250, -82.73344041 28.28506538))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x33y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.73490552 28.37529250, -82.63288729 28.37655314, -82.63427271 28.46678371, -82.73637738 28.46551834, -82.73490552 28.37529250))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x34y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.62876917 28.10585388, -82.52700163 28.10702492, -82.52828272 28.19726368, -82.63013555 28.19608822, -82.62876917 28.10585388))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x34y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.63013555 28.19608822, -82.52828272 28.19726368, -82.52956974 28.28750120, -82.63150825 28.28632130, -82.63013555 28.19608822))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x34y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.63150825 28.28632130, -82.52956974 28.28750120, -82.53086270 28.37773746, -82.63288729 28.37655314, -82.63150825 28.28632130))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x34y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.63288729 28.37655314, -82.53086270 28.37773746, -82.53216164 28.46797248, -82.63427271 28.46678371, -82.63288729 28.37655314))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x35y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.52700163 28.10702492, -82.42522819 28.10812049, -82.42642396 28.19836339, -82.52828272 28.19726368, -82.52700163 28.10702492))"
