"project","directory","files","year","horizontal_epsg","horizontal_projection","geometry"
"FL_2017PalmCoast_C22","s3://spotable-geo-us-west-2/dtm/us/FL_2017PalmCoast_C22","9","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-81.10304777 29.37916997, -81.10332241 29.64992774, -81.20664440 29.64980697, -81.20682917 29.74005666, -81.31024270 29.73985465, -81.30996555 29.64960569, -81.41328545 29.64932390, -81.41255143 29.46882434, -81.30941503 29.46910408, -81.30914165 29.37885143, -81.10304777 29.37916997)))"
"FL_2018PascoCounty_C22","s3://spotable-geo-us-west-2/dtm/us/FL_2018PascoCounty_C22","34","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-82.01808319 28.11174775, -82.02239463 28.56301853, -82.32905304 28.56036197, -82.32792192 28.47012017, -82.73637738 28.46551834, -82.73490552 28.37529250, -82.83691697 28.37395556, -82.83228495 28.10328544, -82.01808319 28.11174775)))"
"FL_Everglades_NP_LiDAR_2017_D16","s3://spotable-geo-us-west-2/dtm/us/FL_Everglades_NP_LiDAR_2017_D16","46","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.50396773 25.13510680, -80.50360204 25.22541212, -80.40432634 25.22504534, -80.40299714 25.49595017, -80.50249434 25.49632144, -80.50212155 25.58662232, -80.40254980 25.58624954, -80.40164866 25.76684492, -81.00000000 25.76807480, -81.00000000 25.85837573, -81.09980297 25.85834143, -81.09972733 25.76804063, -81.19945429 25.76793814, -81.19900476 25.49703026, -81.09950256 25.49713153, -81.09942835 25.40682626, -81.00000000 25.40685988, -81.00000000 25.31655337, -80.90064550 25.31651989, -80.90079214 25.13590383, -80.50396773 25.13510680)))"
"FL_GulfCoast_Topography_2018","s3://spotable-geo-us-west-2/dtm/us/FL_GulfCoast_Topography_2018","27","2018","EPSG:26916","NAD83 / UTM zone 16N","SRID=4326;MULTIPOLYGON (((-88.75770800 29.72854582, -88.76405673 30.08936413, -88.97149542 30.08641495, -88.96440125 29.72563909, -88.75770800 29.72854582)), ((-88.03875982 30.18733748, -88.04066227 30.36779224, -88.14471185 30.36692226, -88.14366320 30.27669864, -88.35155718 30.27471742, -88.35032363 30.18449965, -88.03875982 30.18733748)), ((-87.51988137 30.28066178, -86.68806773 30.28132240, -86.68778165 30.37156267, -86.58371088 30.37127260, -86.58409232 30.28103337, -86.48011863 30.28066178, -86.47916289 30.46113631, -87.10416916 30.46213439, -87.10407336 30.37189417, -87.52035816 30.37089967, -87.51988137 30.28066178)))"
"FL_HurricaneMichael_2020_D20","s3://spotable-geo-us-west-2/dtm/us/FL_HurricaneMichael_2020_D20","280","2020","EPSG:26916; EPSG:26917","NAD83 / UTM zone 16N; NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-84.83280393 29.54203755, -84.83087510 29.63222444, -84.72764950 29.63049537, -84.72561985 29.72067461, -84.51901278 29.71696231, -84.51455532 29.89728966, -84.41108162 29.89529840, -84.41340816 29.80514262, -84.31003775 29.80307783, -84.30518825 29.98337297, -84.09810930 29.97896954, -84.09548103 30.06909905, -83.88826282 30.06435362, -83.86819686 30.69509888, -84.80703350 30.71436161, -84.80498769 30.80453083, -84.90945190 30.80625867, -84.90355311 31.07677655, -85.74190364 31.08768459, -85.74308960 30.99747474, -86.05727523 31.00015070, -86.05816087 30.90993007, -86.16279963 30.91064966, -86.16744943 30.36928374, -86.27151069 30.36990523, -86.27217815 30.27967091, -86.06424972 30.27834983, -86.06510394 30.18811900, -85.85738072 30.18647374, -85.85841992 30.09624757, -85.75465957 30.09530503, -85.75578804 30.00508099, -85.54847104 30.00295790, -85.54978143 29.91274026, -85.44622513 29.91156063, -85.45039871 29.64091278, -85.24386123 29.63833798, -85.24542335 29.54812883, -84.83280393 29.54203755)), ((-83.90451897 30.06909905, -83.90715917 30.15922711, -83.80343807 30.16148570, -83.80856538 30.34175379, -83.70464359 30.34394625, -83.70712947 30.43408601, -83.60310120 30.43620359, -83.61033818 30.70663710, -84.13180314 30.69509888, -84.11173718 30.06435362, -83.90451897 30.06909905)))"
"FL_LeonCo_2018","s3://spotable-geo-us-west-2/dtm/us/FL_LeonCo_2018","37","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-78.39449736 30.52634952, -78.60277744 30.53035058, -78.60498738 30.44019035, -78.70904683 30.44205947, -78.71115144 30.35189116, -78.81512500 30.35367100, -78.81712513 30.26349493, -77.98638526 30.24700489, -77.97807104 30.51735060, -77.87399486 30.51489340, -77.87110240 30.60499689, -77.97527451 30.60746289, -77.97246534 30.69757369, -78.38966182 30.70663710, -78.39449736 30.52634952)), ((-84.01361474 30.24700489, -84.02192896 30.51735060, -83.91784019 30.51972485, -83.92325349 30.69996495, -84.13180314 30.69509888, -84.11740569 30.24457398, -84.01361474 30.24700489)))"
"FL_Lower_Choctawhatchee_2017","s3://spotable-geo-us-west-2/dtm/us/FL_Lower_Choctawhatchee_2017","118","2017","EPSG:26916","NAD83 / UTM zone 16N","SRID=4326;MULTIPOLYGON (((-85.14060297 29.63693005, -85.13894159 29.72713277, -84.93226390 29.72406483, -84.92667659 29.99463149, -85.03029021 29.99622298, -85.02490895 30.26679488, -85.23272546 30.26976539, -85.22947840 30.45016137, -85.33358855 30.45153285, -85.33204998 30.54173377, -85.22784382 30.54035737, -85.22620185 30.63055204, -85.33050444 30.63193337, -85.32425211 30.99271851, -85.42895194 30.99403483, -85.42746983 31.08423246, -85.74190364 31.08768459, -85.74308960 30.99747474, -86.05727523 31.00015070, -86.05816087 30.90993007, -86.16279963 30.91064966, -86.16668319 30.45951456, -86.47916289 30.46113631, -86.47964184 30.37089967, -86.37557497 30.37044388, -86.37614710 30.28020762, -86.06424972 30.27834983, -86.06510394 30.18811900, -85.85738072 30.18647374, -85.85841992 30.09624757, -85.75465957 30.09530503, -85.75578804 30.00508099, -85.54847104 30.00295790, -85.54978143 29.91274026, -85.44622513 29.91156063, -85.45039871 29.64091278, -85.14060297 29.63693005)))"
"FL_Lower_Choctawhatchee_TL_2017","s3://spotable-geo-us-west-2/dtm/us/FL_Lower_Choctawhatchee_TL_2017","1","2017","EPSG:26916","NAD83 / UTM zone 16N","SRID=4326;MULTIPOLYGON (((-85.95352609 30.90912585, -85.95254210 30.99934362, -86.05727523 31.00015070, -86.05816087 30.90993007, -85.95352609 30.90912585)))"
"FL_ManateeCounty_B25","s3://spotable-geo-us-west-2/dtm/us/FL_ManateeCounty_B25","34","","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-82.00894236 27.11884583, -82.01387026 27.66044667, -82.82470633 27.65214333, -82.82172379 27.47167772, -82.72055503 27.47296495, -82.71915628 27.38272534, -82.51696388 27.38507040, -82.51573523 27.29482057, -82.31368351 27.29686491, -82.31156838 27.11634589, -82.00894236 27.11884583)))"
"FL_MiamiDade_D23","s3://spotable-geo-us-west-2/dtm/us/FL_MiamiDade_D23","58","","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.40520185 25.04443656, -80.40476515 25.13474150, -80.30556469 25.13430981, -80.30350208 25.49551140, -80.20400951 25.49500515, -80.20341310 25.58530071, -80.10384888 25.58472466, -80.10044566 26.03617381, -80.90004466 26.03893965, -80.90034796 25.67773871, -80.60139541 25.67722831, -80.60287951 25.22571223, -80.90071899 25.22621241, -80.90079214 25.13590383, -80.50396773 25.13510680, -80.50433166 25.04480036, -80.40520185 25.04443656)))"
"FL_Osceola_2015","s3://spotable-geo-us-west-2/dtm/us/FL_Osceola_2015","61","2015","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.79737978 27.57372920, -80.79585563 28.38618314, -81.51035396 28.38538042, -81.51078718 28.47564411, -81.71509086 28.47472332, -81.71327981 28.20393894, -81.61138784 28.20443211, -81.61087514 28.11416639, -81.50906623 28.11458213, -81.50821761 27.93404396, -81.40657643 27.93438156, -81.40623933 27.84410941, -81.30468086 27.84437100, -81.30442920 27.75409667, -81.20295344 27.75428281, -81.20262022 27.57372920, -80.79737978 27.57372920)))"
"FL_PalmBeachCo_2016","s3://spotable-geo-us-west-2/dtm/us/FL_PalmBeachCo_2016","67","2016","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-79.99819442 26.30636491, -79.99186561 27.02857486, -80.69754249 27.03185976, -80.69802399 26.85128888, -80.79868203 26.85146799, -80.79884141 26.76118012, -80.89942052 26.76128717, -80.89981337 26.30982851, -79.99819442 26.30636491)))"
"FL_Panhandle_B1_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Panhandle_B1_2018","46","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-83.27235050 29.63049537, -83.27438015 29.72067461, -83.17106254 29.72240999, -83.17496432 29.90277705, -83.38196082 29.89919988, -83.37981982 29.80902998, -83.48321089 29.80712668, -83.47877363 29.62679656, -83.27235050 29.63049537)), ((-81.10455671 30.82308273, -81.00000000 30.82312491, -81.00000000 30.73288956, -80.05992022 30.72948495, -80.05904253 30.81970815, -79.95450566 30.81890678, -79.95254210 30.99934362, -80.16201235 31.00087286, -80.16122152 31.09109477, -81.00000000 31.09382341, -81.00000000 31.00359184, -81.10475312 31.00354935, -81.10455671 30.82308273)))"
"FL_Panhandle_B2_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Panhandle_B2_2018","95","2018","EPSG:26916","NAD83 / UTM zone 16N","SRID=4326;MULTIPOLYGON (((-84.61372792 30.07953556, -84.60718736 30.35002873, -84.39928943 30.34605625, -84.39689880 30.43620359, -84.29287053 30.43408601, -84.28786496 30.61436124, -84.18365623 30.61214510, -84.18103994 30.70227263, -84.59832750 30.71066684, -84.59608744 30.80082288, -84.90945190 30.80625867, -84.90355311 31.07677655, -85.53227501 31.08546833, -85.54048276 30.54423660, -85.43626310 30.54302685, -85.44199433 30.18219683, -85.23433801 30.17956542, -85.23594327 30.08936413, -84.61372792 30.07953556)))"
